score,class,pred
1.0051684379577637,0,0
1.0093988180160522,0,0
1.0760892629623413,0,0
1.0311206579208374,0,0
0.991213321685791,0,0
0.9843112826347351,0,0
1.0098708868026733,0,0
1.026479721069336,0,0
0.9739289283752441,0,0
1.0014208555221558,0,0
1.01307213306427,0,0
0.9545040130615234,0,0
0.9615865349769592,0,0
1.008251667022705,0,0
1.0610369443893433,0,0
0.9685273170471191,0,0
0.9371572732925415,0,0
0.9798438549041748,0,0
0.9299454092979431,0,0
0.8871886730194092,0,0
0.992773175239563,0,0
0.9875966310501099,0,0
1.0115975141525269,0,0
0.9332082271575928,0,0
0.9596005082130432,0,0
1.010644793510437,0,0
1.0322843790054321,0,0
0.9790033102035522,0,0
0.9312946200370789,0,0
0.9993915557861328,0,0
0.9446205496788025,0,0
0.949852466583252,0,0
0.9991757273674011,0,0
0.9872480630874634,0,0
0.9463699460029602,0,0
0.9425602555274963,0,0
0.9527138471603394,0,0
1.0094237327575684,0,0
0.9645197987556458,0,0
0.9699052572250366,0,0
0.9737920761108398,0,0
0.9493386149406433,0,0
0.9371210336685181,0,0
0.9464657306671143,0,0
1.0033867359161377,0,0
0.9856445789337158,0,0
0.9488740563392639,0,0
0.7927181124687195,0,1
1.0048637390136719,0,0
1.0139316320419312,0,0
0.9432217478752136,0,0
0.9314714074134827,0,0
1.0134180784225464,0,0
1.013905644416809,0,0
0.9563421607017517,0,0
1.0267692804336548,0,0
0.9314773082733154,0,0
0.9440749883651733,0,0
1.0544555187225342,0,0
0.9121954441070557,0,0
1.0141780376434326,0,0
0.9802259802818298,0,0
0.9839443564414978,0,0
0.9446484446525574,0,0
1.0099655389785767,0,0
0.9739935398101807,0,0
1.0280078649520874,0,0
0.9443721175193787,0,0
0.9736860990524292,0,0
0.8587972521781921,0,1
0.9892491698265076,0,0
0.9875847697257996,0,0
1.0449979305267334,0,0
0.9636192917823792,0,0
0.9765961766242981,0,0
1.0042837858200073,0,0
1.0188970565795898,0,0
1.010286569595337,0,0
0.992202877998352,0,0
0.9708805084228516,0,0
0.9713351726531982,0,0
1.0012707710266113,0,0
0.9720523357391357,0,0
0.8213744759559631,0,1
0.9374632239341736,0,0
0.9422438740730286,0,0
0.9760177731513977,0,0
0.9196103811264038,0,0
1.0403928756713867,0,0
0.9215204119682312,0,0
0.957645058631897,0,0
0.9716973304748535,0,0
1.037564992904663,0,0
0.9772814512252808,0,0
0.9646386504173279,0,0
0.9555565714836121,0,0
0.9576787948608398,0,0
1.0013282299041748,0,0
0.9858355522155762,0,0
0.9546356797218323,0,0
0.9976874589920044,0,0
0.9736613035202026,0,0
0.9667059183120728,0,0
0.9863423705101013,0,0
0.9930375814437866,0,0
0.9607232213020325,0,0
1.0554300546646118,0,0
0.9963695406913757,0,0
0.9990898370742798,0,0
0.9464890956878662,0,0
1.0010591745376587,0,0
1.0190083980560303,0,0
1.0209965705871582,0,0
1.0151749849319458,0,0
0.9492815732955933,0,0
1.0097012519836426,0,0
0.9493317008018494,0,0
0.9920946955680847,0,0
0.9820517897605896,0,0
0.9577702879905701,0,0
0.9998711347579956,0,0
0.9969085454940796,0,0
0.9882197380065918,0,0
0.9332553744316101,0,0
0.8888734579086304,0,0
