score,class,pred
2.625,0,0
1.2734375,0,0
2.484375,0,0
1.8125,0,0
2.796875,0,0
1.359375,0,0
2.421875,0,0
1.4140625,0,0
1.359375,0,0
2.015625,0,0
1.453125,0,0
2.5,0,0
1.953125,0,0
3.0625,0,0
1.1640625,0,0
2.15625,0,0
1.6015625,0,0
1.5,0,0
1.3125,0,0
1.6328125,0,0
2.0,0,0
2.59375,0,0
1.9296875,0,0
1.65625,0,0
2.078125,0,0
3.8125,0,0
1.8203125,0,0
1.65625,0,0
2.625,0,0
2.359375,0,0
2.296875,0,0
1.7109375,0,0
1.7578125,0,0
1.21875,0,0
1.609375,0,0
1.7421875,0,0
1.0703125,0,0
1.7265625,0,0
1.703125,0,0
2.40625,0,0
1.0078125,0,0
0.73046875,0,0
1.6328125,0,0
1.796875,0,0
1.5390625,0,0
1.6328125,0,0
1.8671875,0,0
2.078125,0,0
2.390625,0,0
1.71875,0,0
2.5625,0,0
1.53125,0,0
2.09375,0,0
1.6328125,0,0
1.8359375,0,0
2.328125,0,0
1.34375,0,0
1.6640625,0,0
2.203125,0,0
2.546875,0,0
1.46875,0,0
1.7265625,0,0
2.625,0,0
1.71875,0,0
1.921875,0,0
1.8828125,0,0
2.53125,0,0
2.140625,0,0
1.4296875,0,0
1.953125,0,0
1.4296875,0,0
1.765625,0,0
1.5390625,0,0
2.046875,0,0
2.265625,0,0
1.0703125,0,0
2.484375,0,0
1.3203125,0,0
1.578125,0,0
1.1796875,0,0
1.8984375,0,0
3.21875,0,0
2.1875,0,0
2.359375,0,0
2.1875,0,0
1.625,0,0
1.78125,0,0
2.15625,0,0
1.859375,0,0
1.0390625,0,0
2.0625,0,0
1.7734375,0,0
3.109375,0,0
1.875,0,0
1.515625,0,0
3.3125,0,0
1.6796875,0,0
0.62890625,0,1
3.421875,0,0
0.97265625,0,0
1.0546875,0,0
2.5625,0,0
1.6015625,0,0
1.84375,0,0
2.09375,0,0
0.58203125,0,1
1.765625,0,0
2.28125,0,0
1.375,0,0
5.125,0,0
2.15625,0,0
2.125,0,0
1.8125,0,0
1.4140625,0,0
2.28125,0,0
2.390625,0,0
0.5546875,0,1
1.609375,0,0
1.8359375,0,0
1.671875,0,0
1.8515625,0,0
1.140625,0,0
1.9765625,0,0
2.375,0,0
0.69140625,0,0
1.5546875,0,0
1.5546875,0,0
1.1953125,0,0
1.359375,0,0
1.78125,0,0
1.578125,0,0
1.2421875,0,0
1.8203125,0,0
2.015625,0,0
1.953125,0,0
1.65625,0,0
2.8125,0,0
1.40625,0,0
1.8125,0,0
2.0,0,0
2.375,0,0
1.8125,0,0
2.515625,0,0
0.75390625,0,0
1.75,0,0
1.375,0,0
1.4609375,0,0
1.6484375,0,0
2.59375,0,0
1.3671875,0,0
1.203125,1,0
1.1484375,1,0
1.9453125,1,0
1.0078125,1,0
1.7734375,1,0
0.9921875,1,0
1.7421875,1,0
1.2109375,1,0
1.3359375,1,0
1.3046875,1,0
1.3984375,1,0
1.0625,1,0
1.3828125,1,0
1.09375,1,0
0.9765625,1,0
1.2890625,1,0
1.296875,1,0
1.109375,1,0
1.265625,1,0
1.3828125,1,0
1.203125,1,0
1.765625,1,0
1.390625,1,0
1.2421875,1,0
1.4609375,1,0
2.078125,1,0
1.265625,1,0
1.296875,1,0
1.3515625,1,0
1.296875,1,0
1.421875,1,0
1.2109375,1,0
1.1015625,1,0
1.1484375,1,0
1.7109375,1,0
1.2265625,1,0
0.82421875,1,0
1.109375,1,0
1.1640625,1,0
1.9609375,1,0
0.93359375,1,0
0.75390625,1,0
1.2890625,1,0
1.578125,1,0
1.3125,1,0
1.6328125,1,0
1.1640625,1,0
1.296875,1,0
1.3671875,1,0
1.1484375,1,0
1.515625,1,0
1.6015625,1,0
1.3359375,1,0
1.3203125,1,0
1.5234375,1,0
1.53125,1,0
1.078125,1,0
1.109375,1,0
1.390625,1,0
1.7890625,1,0
1.046875,1,0
1.359375,1,0
1.3125,1,0
1.3359375,1,0
1.8046875,1,0
1.3515625,1,0
1.3671875,1,0
1.265625,1,0
1.25,1,0
1.640625,1,0
1.125,1,0
1.3515625,1,0
1.203125,1,0
0.8828125,1,0
1.40625,1,0
0.921875,1,0
1.6796875,1,0
1.296875,1,0
0.8828125,1,0
1.078125,1,0
0.86328125,1,0
2.984375,1,0
2.25,1,0
1.9921875,1,0
1.8046875,1,0
1.296875,1,0
1.484375,1,0
1.3984375,1,0
1.3046875,1,0
0.921875,1,0
1.203125,1,0
1.671875,1,0
1.140625,1,0
1.2109375,1,0
1.0390625,1,0
1.25,1,0
